Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Engineer,"$80K-$150K
(Glassdoor Est.)","Company Description
Sagence is a management advisory firm dedicated to helping our clients optimize the value of their data assets. From thinking to doing, Sagence works with leading institutions in the acquisition, evaluation, development and management of their critical data assets and in the application of analytics to discover new insights, shorten time-to-value, and drive competitive advantage.
**All candidates must be currently authorized to work in the US on a full-time basis. Sagence does not provide sponsorship for work visas upon hire or once on board.**
Job Overview
Sagence is looking for experienced, client-facing Data Engineers to help us build and sustain our client’s data capabilities and our competitive advantage. Along with the requirements below, candidates must possess deep, practical experience in one or more of the following Data Management competencies; data warehousing, data lakes, reference data or master data management, data architecture, data modeling, data governance, data analysis, business intelligence.
Skills & Requirements:
MUST BE HANDS ON. Candidates should have system development experience and proficiency with system development methodologies and possess the following skills and knowledge:
Must have significant hands-on experience with various IT concepts of data management/engineering (ETL, data modeling, data warehousing, etc.)
Must have significant hands-on experience with SQL, data profiling, and data discovery
Experience building business intelligence, analytics, or reporting solutions - either front-end consumption mechanisms (e.g., Microsoft, Tableau & Qlik) or supply of data for these purposes
Familiarity with data architecture principles/approaches, data environment infrastructure considerations, and data modeling principles/approaches
Ability to drive out technical requirements with business and IT stakeholders for implementations of data solutions
Hands-on experience with Agile delivery methodology
Prior professional experience in an IT management, management consulting, or client facing role is preferred
Knowledge of the Financial Services, Insurance, Healthcare or Retail industries is preferred
Demonstrated ability in engaging, communicating, and presenting to stakeholders across both business and technology functions
Tools and Technology:
Proficient at leveraging tools and technology to drive value for clients. Examples include the following;
Database Management Tools:
Relational – e.g. Oracle, MySQL, Microsoft SQL Server, PostgreSQL, DB, or similar
NoSQL – e.g. MongoDB, Couchbase, DataStax, Redix, MarkLogic, or similar
Cloud – e.g. AWS, Azure, xxx, xxx, xxx
ETL Tools - e.g. Informatica, Talend, Microsoft SSIS, or similar
Data Modeling tools - e.g., Toad, ERWin, ER/Studio, PowerDesigner, IBM Data Architect, or similar
Industry Leading BI tools - e.g., Business Objects, Microsoft, Cognos, Tableau, OBIEE, Qlickview, or similar
General:
Must be currently authorized to work in the US on a full-time basis. Sagence does not provide sponsorship for work visas
3+ years of professional experience working in a related role
Must be collaborative, innovative, curious, and resourceful, and exhibit a positive attitude
Strong desire to work on interesting projects with smart and creative people
Willingness to travel up to 80% of the week (M-Th)
Chicago or New York area candidates preferred, but will consider candidates in other parts of U.S.
Our Culture
Passionate, diverse, creative, genuine, flexible, hands-on…these are just a few of the words that describe our culture. Our Partners are deeply involved in the client work on a daily basis. We have a high-energy workplace with a focus on producing high-quality, impactful results. We are committed to equality of opportunity, fairness, work and lifestyle balance, and mutual respect. We promote an entrepreneurial spirit by encouraging individual initiative and foster a collaborative culture and work environment which includes open communication and on-going learning. We build teamwork through small, dedicated teams who continuously teach each other and learn from one another. We strongly believe these characteristics enable our employees to develop to their fullest potential. To learn more, please visit us at www.sagenceconsulting.com",4.6,"Sagence
4.6","Chicago, IL",1 to 50 Employees,2009,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
Business Data Analyst,-1,"We Are Hiring

Remote Opportunity!

Join a team where you can grow and develop your career along with helping to transform healthcare! The ideal candidate will be comfortable working on the most complex, high visibility projects to bring structure and alignment to the overall solution.

Why Join Ascension?
Ascension is a faith-based healthcare organization dedicated to transformation through innovation across the continuum of care. As one of the leading non-profit and Catholic health systems in the U.S., Ascension is committed to delivering compassionate, personalized care to all, with special attention to persons living in poverty and those most vulnerable. In FY2019, Ascension provided $2 billion in care of persons living in poverty and other community benefit programs.

Ascension includes more than 150,000 associates and 40,000 aligned providers. The national health system operates more than 2,600 sites of care – including 150 hospitals and more than 50 senior living facilities – in 20 states and the District of Columbia, while providing a variety of services including clinical and network services, venture capital investing, investment management, biomedical engineering, facilities management, risk management, and contracting through Ascension’s own group purchasing organization.

What You Will Do

As an Associate with Ascension, you will have the opportunity to serve as a key resource/SME in developing and delivering quality solutions to support business processes. Our goal is to improve our data offerings through consolidation and modernization of our data and platforms, while continuing to build our data expertise.

Responsibilities:
Solicit, clarify and analyze customer requirements and develop comprehensive documentation.
Interface with the customer to ensure project objectives are achieved.
Assist in planning and implementing activities required for the collection and analysis of data related to departmental business needs, including the development of data collection systems.
Develop and run basic queries and other data collection spreadsheets to support assigned business areas and organize them in a format for ease of review and use.
Assist in core operational tasks, including high level design, reporting, documentation, and systems updates.
Assess data integrity from source to target.
What You Will Need

Education:
High school diploma/GED with 2 years of experience, or Associate's degree, or Bachelor's degree required
Bachelor's Degree in Business, Computer Science, Mathematics or related field preferred.
Experience:
Three years of progressively responsible experience in the management of data analysis, and/or decision support analytics preferred.
1-3 years of experience interpreting user stories and applying the appropriate technical solutions to deliver operational results preferred.
Strong Business Requirements Development skills preferred.
Participation in delivering projects using SDLC and Agile methodologies preferred.
Experience with fully adjudicated Medical and Rx claims, Premium, Provider, and/or Supplemental data highly preferred. Medicare Advantage experience is a plus.
1-3 years of project management experience preferred.
SQL, Python or similar programming languages are a plus.
Knowledge of GCP (Google Cloud Platform) a plus.
Knowledge of Source to Target mappings preferred.
Equal Employment Opportunity
Ascension is an EEO/AA employer: M/F/Disabled/Vet. For further information regarding your EEO rights, click on the following link to the “EEO is the Law” poster:
http://www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdf”
Please note that Ascension will make an offer of employment only to individuals who have applied for a position using our official application. Be on alert for possible fraudulent offers of employment. Ascension will not solicit money or banking information from applicants.

E-Verify Statement

This employer participates in the Electronic Employment Verification Program. Please click the E-Verify links below for more information.

eVerify

Right to Work",3.3,"Ascension
3.3",United States,10000+ Employees,1999,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Data Scientist,"$79K-$127K
(Glassdoor Est.)","Job Title: Data Scientists

Job Description
Join an elite group dedicated to continuous personal improvement as GCT is currently seeking Data Scientists of all levels to support an intelligence agency with insights gained from analyzing voluminous sensor data. The ideal candidate is adept at using large data sets to find opportunities for process optimization and using models to test the effectiveness of different courses of action. Candidates must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.

Clearance: TS/SCI w/Full scope polygraph (or used within the past 24 months)

Education/Experience Requirements

Senior Positions:
Masters degree in Data Science, Statistics, Mathematics, Computer Science or another quantitative field, or extensive comparable experience
10+ years of relevant experience
Junior/Intermediate Positions
Completed B.S. in Data Science, Mathematics, Statistics, Computer Science, Computer Engineering, or a closely related technical field
3-9 years of relevant experience
Qualifications
Experience using statistical computer languages (SAS, SPSS, R, Python, SLQ, etc.) to manipulate data and draw insights fromlarge data sets
Experience working with and creating data architectures
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications
Excellent written and verbal communication skills
Strong problem solving skills
A drive to learn and master new technologies and techniques
Desired Skills
Experience manipulating data sets and building statistical models
Coding knowledge and experience with several languages: C, C++, Java, JavaScript, etc.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, Bayes, etc.
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.
Experience using web services: Redshift, S3, Spark, DigitalOcean, AWS, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc.
The success of Great-Circle Technologies depends on the success and well-being of its employees. GCT promotes work/life balance and encourages the overall well-being of each of its contributors. A comprehensive benefits package is provided, which currently includes company paid single medical, dental, life, disability, and long-term care insurances (with contributions to family premiums,) matching 401k plan, 34 days off per year including 10 Federal holidays plus the day after Thanksgiving, Christmas and New Year’s eves!

Join us at Great-Circle Technologies, where innovation is the shortest distance between two points.

Great-Circle Technologies is an Equal Opportunity Employer. Great-Circle Technologies ensures all qualified applicants will receive consideration for employment without regard to gender, race, ethnic background, religion, disability, sexual orientation, gender identity, national origin, age, or protected veteran status.",2.2,"Great-Circle Technologies
2.2","Chantilly, VA",1 to 50 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD)
Data Analyst,-1,"Who We Are

At Christian Care Ministry we believe that Christians can, and should, share in one another's burdens. Through the use of Medi-Share®, a Christian Healthcare Ministry, we cultivate that belief.

The Team

Everyone at Christian Care Ministry agrees to our Statement of Faith which outlines our core beliefs. Although we aren't perfect people, we are serving our perfect God to the best of our ability.

We work hard to serve our members, but know we can only do that if we invest in our employees professionally, financially, physically, and spiritually. Through times of prayer, weekly Chapel services, plenty of professional development, an onsite gym, 401(k) and, great benefits, we purposefully invest in our employees so that our employees can invest in others.

The Role

The Data Analyst conducts statistical analysis and modeling on various datasets across the organization, identifying and presenting actionable analytics and insights to all levels of management. You will be responsible for generation, maintenance and delivery (ad hoc, on-demand and automated) of basic reporting and data requests throughout the organization. Utilizing numerous types of data, both modeled and disparate, this analyst will produce accurate, timely reports as requested for various levels of management that is essential for decision-making and performance management. With strong proficiency in several technical coding skillsets, this position is able to write complex, accurate code to extract ministry data for analysis purposes with little supervision.

In This Role You Will...
Support in designing, development, and maintenance of ongoing metrics, reports, dashboards, etc. to drive key business decisions organization-wide. Additionally, this role will maintain proper documentation for all ad-hoc, on-demand and standard/regularly-occurring reports distributed.
Takes initiative to learn new types of data with regular guidance from BI leadership by exploring data as well as research into business processes/workflows generating the data
Gains understanding that is critical for delivering accurate report results.
Works with Data Governance to ensure new data is properly documented and understood.
Pursues and shows consistent growth in relevant, technical skills such as SQL, SSRS & Sales Force reporting.
Accumulates and retains knowledge of business practices/procedures at CCM quickly, using this information to think critically about all reporting requests received.
Builds accurate views and queries for use by the organization and potentially other BI analysts, utilizing SQL best practices and adhering to coding standards as set forth by CCM's Data Services team.
Assists in conversion of legacy/queries reports in Microsoft Access to other tools like SQL, SSRS, Sales Force Reporting or Tableau
Learns to address expected and unforeseen data issues to ensure the accuracy of reports, ensuring any resulting business decisions are made from accurate findings.
Works in collaboration with the data owners/stewards to improve data quality where possible
Establishes strong working relationships with the business, taking the initiative to help internal customers refine the scope of reporting requests to ensure internal customers are asking for the data they actually want.
Partners with Data Services and Governance team to address Data Quality and Governance issues that arise, making recommendations as necessary for trends/issues that are discovered
Collaborates with the BI team to develop relevant and repeatable policies and procedures for preparing business reports and departmental processes
Under the direction/guidance of BI's Tableau Developer/Data Analyst, develops dashboards and visualizations in Tableau for consumption by the organization as assigned by department leadership.
Collaborates effectively inter- and intra-departmentally to assist team in reaching desired outcomes
In This Role You Must Have…
Proficiency and knowledge in SQL and Tableau
Understanding of modern business analytics technology
Excellent written and oral communication skills
Advanced Microsoft Office skills including Excel and Powerpoint
Ability to multi-task and work effectively under pressure
Detail-oriented mindset with passion to understand data and ensure accuracy
Ability to think and work independently
Ability to maintain confidentiality
Education and Experience
Bachelor's degree in mathematics, economics, information science, engineering, data science or relevant field
0-2 years' relevant working experience
Experience working with Healthcare data is required
Experience with statistical modeling tool(s) required",3.3,"Christian Care Ministry
3.3","Melbourne, FL",501 to 1000 Employees,1993,Nonprofit Organization,Religious Organizations,Non-Profit,$500 million to $1 billion (USD)
Data Scientist,"$111K-$175K
(Glassdoor Est.)","C3.ai is a leading enterprise AI software provider for accelerating digital transformation. The comprehensive and proven C3 AI Suite uses a model-driven abstraction layer to enable organizations to develop, deploy, and operate enterprise scale AI applications 40x to 100x faster than alternative approaches. www.c3.ai

As a Data Scientist, you will participate in the definition of new analytics capabilities able to provide our customers with the information they need to make proper decisions to support our customers in operating the internet of things (IoT). In addition, you will help find the appropriate machine learning / data mining algorithms to answer these questions. Finally, you will be responsible for implementing this into the product and making it available to our customers.

Qualified candidates will have an in-depth knowledge of most common machine learning techniques and their application. You will also understand the limitations of these algorithms and how to tweak them or derive from them to achieve similar results at large-scale.

Your Responsibilities:
Driving adoption of Deep Learning systems into next-generation of C3.ai products.
Designing and deploying Machine Learning algorithms for industrial applications such as fraud detection and predictive maintenance.
Collaborating with data and subject matter experts from C3.ai and its customer teams to seek, understand, validate, interpret, and correctly use new data elements.
Requirements:
MS or PhD in Computer Science, Electrical Engineering, Statistics, or equivalent fields.
Applied Machine Learning experience (regression and classification, supervised, and unsupervised learning).
Strong mathematical background (linear algebra, calculus, probability and statistics).
Experience with scalable ML (MapReduce, streaming).
Ability to drive a project and work both independently and in a team.
Smart, motivated, can do attitude, and seeks to make a difference.
Excellent verbal and written communication.
Preferred
Experience with JavaScript and prototyping languages such as Python and R. Experience with Java and Scala is a plus.
Knowledge in electrical engineering and cyber-physical systems is a plus.
A portfolio of projects (GitHub, papers, etc.) is a plus.
C3.ai provides a competitive compensation package and excellent benefits including:
Competitive salary, generous stock options, 401K, medical, dental, and vision benefits. At the office, we offer a fully stocked kitchen with catered breakfast and lunch, table tennis and pool table, free membership at our on-site gym, Friday evening social hours with food, drink and music and a fun team of great people.
C3.ai is proud to be an Equal Opportunity and Affirmative Action Employer. We do not discriminate on the basis of any legally protected characteristics, including disabled and veteran status.",4.5,"C3.ai
4.5","Redwood City, CA",201 to 500 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Data Engineer,-1,"Now hiring a Data Engineer

As a Data Engineer you will spend your days finding ways to unlock value from large sets of data in an Azure environment in support of executive decision making and daily operations. You'll do so as part of a complete product team including user experience designers, business analysts, and software engineers/developers. You'll do so in a modern data science tech stack of open source tools and cloud services. This is a remote position and may require up to 25% travel.

Profile of Success
Support and develop data flows by developing processes that verify, standardize, and scale data input, transformation, and storage.
Expert knowledge in Data Migration, Data transfer, and SQL query script writing.
Self-starter and quick learner that is capable of finishing Data interface projects with minimal supervision.
Collaborate with Data Analysts, Visualization Experts, and Customer-facing advisors to support and develop our data and analytics reporting offerings.
Research and implement cutting edge solutions to solve challenges related to ETL/ELT, data processing, and analytics.
Support efforts by the Data Science and Data Analytics teams.
Discover non-functional requirements, risks, and enterprise strategy deviations while working with project teams.
Identify appropriate data sources for application use.
Profile and analyze data
Create or validate system context diagrams, logical data models, and integration designs.
Generate data flow diagrams (DFD)
Create or validate data mappings
Ensure new data sources, mappings, and models are correctly captured in enterprise repositories.
Conduct technical reviews to ensure the application data models and flows have been correctly implemented.
Participate in Integration/System testing
Discover non-functional requirements, risks, and enterprise strategy deviations while working with project teams.
Identify appropriate data sources for application use.
Profile and analyze data
Create or validate system context diagrams, logical data models, and integration designs.
Generate data flow diagrams (DFD)
Create or validate data mappings
Ensure new data sources, mappings, and models are correctly captured in enterprise repositories.
Automate the external data interfaces and the Power Automate flows to replace manual steps
Desirable Skills
Experience with modern data structure design and data engineering
Experience with Azure Data Factory, COSMOS, Azure SQL, Azure Synapse Platform and Data Lakes and Data Warehouse tools and technology
A drive to learn and share knowledge about emerging data science tools and practices
3-7 years of relevant experience
Bachelors degree in Computer Science or similar
Ability to obtain a USCIS Public Trust Clearance",4.5,"Applied Information Sciences
4.5",United States,501 to 1000 Employees,1982,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
Senior Data Scientist,"$72K-$122K
(Glassdoor Est.)","Are you a talented and passionate engineer? Do you love solving problems and making ideas come to life? Are you a lifelong learner who thrives in dynamic environments and enjoys the challenge of learning new technologies and techniques? Are you a team player and enjoy collaboration, but you are also self-directed and enjoy the autonomy to be able to manage your own schedule and workload? Do you appreciate the importance of good communication and know that teamwork takes practice, effort and a good attitude? If so, we want to speak with you.

The Senior Data Scientist is responsible for collaborating with the team to design and implement systems that focus on forecasting, allocating, delivering, and reporting of advertising on the internet, TV, and connected devices. The successful candidate will utilize advanced mathematical, optimization, machine-learning, software engineering, and programming skills to solve challenging problems.

Responsibilities
Develop innovative forecasts, models, algorithms, and solutions and build prototypes and production implementations
Dig deep into high volumes of data, engineer features for improved forecast performance
Work cross-functionally to gather feedback and requirements from end users
Be a key contributor to product innovation and company strategy
Communicate technical information clearly to both technical and non-technical people
Required Qualifications
Degree in Operations Research, Computer Science, Mathematics, Statistics, Industrial Engineering, Mechanical Engineering, Physics, or related field; MS/PhD preferred
3+ years of relevant experience
Strong analytical, statistical, and math abilities; Exceptional problem-solving skills
Excellent communication skills
Extreme attention to detail
Ability to work as part of a team in a fast-paced environment
#LI-KR1

About Amobee
The world’s leading independent advertising platform, Amobee unifies all advertising channels—including TV, programmatic and social—across all formats and devices. We provide marketers with streamlined, advanced media planning capabilities powered by in-depth analytics and proprietary audience data. Our platform and technology, provides the most advanced advertising solutions for the convergence of digital and advanced TV— including linear TV, over the top, connected TV, and premium digital video. Enabling advertisers to plan and activate across more than 150 integrated partners, including Facebook, Instagram, Pinterest, Snapchat and Twitter.

Amobee has been named to Fortune’s Top 10 Best Workplaces in Advertising and Marketing. Amobee’s platforms have been widely recognized amongst our industry winning numerous awards in technology innovation, see all Amobee Awards. We are a wholly owned subsidiary of Singtel, one of the largest telco companies in the world, reaching over 700 million mobile subscribers in 21 countries. Amobee operates across North America, Europe, Middle East, Asia and Australia. For more information, visit amobee.com or follow @amobee

In addition to our great environment, we offer a competitive base salary, employee development programs and other comprehensive benefits. Please send a cover letter along with your resume when applying to the position of interest located at Amobee.com. We are an Equal Opportunity Employer. No phone calls and no recruiting agencies, please.",3.7,"Amobee
3.7","Baltimore, MD",501 to 1000 Employees,2005,Company - Private,Advertising & Marketing,Business Services,$500 million to $1 billion (USD)
Data Engineer,"$67K-$123K
(Glassdoor Est.)","Locations: TX - Plano, United States of America, Plano, Texas

At Capital One, were building a leading information-based technology company. Still founder-led by Chairman and Chief Executive Officer Richard Fairbank, Capital One is on a mission to help our customers succeed by bringing ingenuity, simplicity, and humanity to banking. We measure our efforts by the success our customers enjoy and the advocacy they exhibit. We are succeeding because they are succeeding.

Guided by our shared values, we thrive in an environment where collaboration and openness are valued. We believe that innovation is powered by perspective and that teamwork and respect for each other lead to superior results. We elevate each other and obsess about doing the right thing. Our associates serve with humility and a deep respect for their responsibility in helping our customers achieve their goals and realize their dreams. Together, we are on a quest to change banking for good.

Data Engineer

Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative,inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who love to solve real problems and meet real customer needs.

We are seeking Data Engineers who will be a part of a team thats building new analytical and machine learning tools and frameworks to exploit advantages in the latest developments in cloud computing. As aCapital One Data Engineer, youll have the opportunity to be on the forefront of driving a major transformation within Capital One. Learn more about#lifeatcapitalone and our commitment todiversity & inclusion by jumping toslides 25-40 on our Corporate Social Responsibility Report.

What Youll Do:
Collaborate with and across Agile teams to design, develop, test, implement, and support technical solutions in full-stack development tools and technologies
Work with a team of developers with deep experience in machine learning, distributed microservices, and full stack systems
Utilize programming languages like Java, Scala, Python and Open Source RDBMS and NoSQL databases and Cloud based data warehousing services such as Snowflake
Share your passion for staying on top of tech trends, experimenting with and learning new technologies, participating in internal & external technology communities, and mentoring other members of the engineering community
Collaborate with digital product managers, and deliver robust cloud-based solutions that drive powerful experiences to help millions of Americans achieve financial empowerment
Perform unit tests and conducting reviews with other team members to make sure your code is rigorously designed, elegantly coded, and effectively tuned for performance
Basic Qualifications:
Bachelors Degree
At least 2 years of experience in application development
At least 1 years of experience in big data technologies (Cassandra, Accumulo, HBase, Spark, Hadoop, HDFS, AVRO, MongoDB, or Zookeeper)
Preferred Qualifications:
Master's Degree
3+ years of experience in application development
1+ year experience working on streaming data applications (Spark Streaming, Kafka, Kinesis, and Flink
1+ years of experience with Amazon Web Services (AWS), Microsoft Azure or another public cloud service
1+ years of experience with Ansible / Terraform
2+ years of experience with Agile engineering practices
1+ years in-depth experience with the Hadoop stack (MapReduce, Pig, Hive, Hbase)
1+ years of experience with NoSQL implementation (Mongo, Cassandra)
2+ years of experience developing Java based software solutions
2+ years of experience in at least one scripting language (Python, Perl, JavaScript, Shell)
2+ years of experience developing software solutions to solve complex business problems
2+ years of experience with UNIX/Linux including basic commands and shell scripting
At this time, Capital One will not sponsor a new applicant for employment authorization for this position.",3.9,"Capital One
3.9","Plano, TX",10000+ Employees,1994,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD)
Machine Learning Engineer - Recommendations Platform,"$138K-$224K
(Glassdoor Est.)","Company Description

null
Job Description

Who We Are:
Recos Platform team builds recommendations platforms such as candidate generation and feature generation engines for product teams. The unrivaled challenges that we face at Twitter are both the data scale and the real-time nature of the product. How do you find the most meaningful content among hundreds of millions of new tweets for hundreds of millions of users every day at Twitter? We build large scale personalized recommendation engines utilizing different kinds of signals such as social network, user activity, and geolocation. Most of our work is about recommendation systems, machine learning, graph algorithms, distributed systems, and social graph analysis.
What You'll Do:
Apply your engineering skills to either improve existing recommendation systems, unlock new directions or provide entirely new ML solutions in recommendation systems within Twitter. You will work closely with live production systems and product teams, and deliver ML solutions at scale within the Twitter tech stack.

Qualifications

Who you are:
A machine learning software engineer with a passion for working on exciting algorithmic and deep infrastructure issues in ML environments.
Thrive on working in concert with other smart people, including from distributed offices.
Communicate fluidly, at the level of your audience, and seek to understand and be understood.
Have the ability to take on complex problems, learn quickly, iterate, and persist towards a good solution.
Take pride in polishing and supporting our products.
Work hand-in-hand with modeling engineers and data scientists, and your passion is to enable them with better infrastructure.
Requirements:
BS, MS or PhD in Computer Science with 3-5 years experience or equivalent experience.
Fluent in one or more languages like Java, Scala, C++, Python
Experience with Hadoop, Pig or other MapReduce-based architectures
Knowledgeable of core CS concepts such as common data structures and algorithms
Comfortable conducting design and code reviews


Additional Information

We are committed to an inclusive and diverse Twitter. Twitter is an equal opportunity employer. We do not discriminate based on race, ethnicity, color, ancestry, national origin, religion, sex, sexual orientation, gender identity, age, disability, veteran, genetic information, marital status or any other legally protected status.
San Francisco applicants: Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.",4.0,"Twitter
4.0","San Francisco, CA",1001 to 5000 Employees,2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD)
Data Scientist - Risk,"$77K-$109K
(Glassdoor Est.)","Job Title: Data Scientist (Risk)

Location: Orlando, Florida

Manager: Head of Data Science

About LSQ

LSQ is a technology-driven provider of accounts receivable financing to companies who need working capital but may not be able to obtain sufficient financing from their bank. Our focus is to help businesses release the liquidity tied up in their accounts receivable. With financing from LSQ, a business can purchase more inventory, fill more orders, and take advantage of new growth opportunities. Our technology and data driven approach to providing working capital, along with our accounts receivable management services, allows our clients to driving business success.

Job Overview

LSQ is searching for a Data Scientist (Risk) to join our growing team of analytics experts. The hire will be responsible for building data driven tools to automate and scale risk decisions decision points include, fraud detection, commercial credit analysis, and invoice payment behavior. The ideal candidate is an experienced researcher and data wrangler who enjoys applying complex theories to solve real world business problems. The Data Scientist will need to collaborate effectively with both technical (engineers, data experts) and non-technical (business users) colleagues to bring the data to life.

Responsibilities of Data Scientist (Risk)
We have 20+ years of real-world commercial data weve observed businesses and their interactions with other businesses across market cycles, industries, and catastrophic events. Build risk tools that optimize for velocity and scale.
Build risk tools that optimize science & art you will work with risk experts who have been in the trenches (and learned from losses). Augment human decisions with machine.
Lay the foundation for scale. A data science framework for optimal data acquisition, model training and deployment. Dont take short-cuts. Bring quantitative and statistical rigor to your body of work.
Lead by example. You are joining a data team at ground-level. Building and inserting a data team, into a 20+ year old company (organism) will be hard, but rewarding.
Qualifications for Risk Data Scientist
Curiosity, Grit, and Humility
5+ years of experience of hands-on data science role
Previous experience of building commercial finance risk tools should be beneficial, but not required
Bachelor or Masters degree in Data Science, Operations Research, Computer Science, Industrial Engineering, Statistics, or another quantitative field
A toolkit of modern data science techniques
Experience with any data science tools/packages: Python, R, SAS, XGBoost, TensorFlow, NLTK
Experience with any big data tools: Hadoop, Spark, Kafka, Data Bricks
Experience with any reporting tools: Tableau Server, Power BI, SSRS, Excel
Experience with any AWS cloud services: EC2, EMR, RDS, Redshift, Aurora, S3
Experience with any Stream-processing systems: Storm, Spark-Streaming
Position Type and Expected Hours of Work:

This is a full-time position. Days and hours of work are Monday through Friday, 8:00 a.m. to 5 p.m. Occasional evening and weekend work may be required as job duties demand.

Physical Demands:

While performing the duties of this job, the employee is regularly required to sit and use hands to finger, handle, or feel. The employee is frequently required to reach with hands and arms and talk or hear. The employee is occasionally required to stand; walk and stoop, kneel, crouch.

Travel:

There will be minimal travel required for this position.

LSQ is an Equal Opportunity Employer that does not discriminate on the basis of actual or perceived, race, religion, color, sex (including pregnancy and gender identity), sexual orientation, parental status, national origin, age, disability, family medical history or genetic information, political affiliation, military service, any other non-merit based factor or any other characteristic protected by applicable federal, state or local laws. Our leadership team is dedicated to this policy with respect to recruitment, hiring, placement, promotion, transfer, training, compensation, benefits, employee activities and general treatment during employment. If youd like more information about your EEO rights as an applicant under the law, please click here http://www1.eeoc.gov/employers/poster.cfm",4.3,"LSQ
4.3","Orlando, FL",51 to 200 Employees,1996,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD)
"Machine Learning Engineer, 1+ Years Experience","$124K-$211K
(Glassdoor Est.)","Snap Inc. is a camera company. We believe that reinventing the camera represents our greatest opportunity to improve the way people live and communicate. Our products empower people to express themselves, live in the moment, learn about the world, and have fun together.

We’re looking for a Machine Learning Engineer to join Snap Inc! Working from our Mountain View, CA office, you will be tasked with solving interesting technical challenges such as architecting and deploying infrastructure to handle our scale, designing a slick and secure mobile client, and maintaining software used by millions every day.

What you’ll do:
Create models which help drive value for users, advertisers, and our company
Evaluate the technical tradeoffs of every decision
Perform code reviews and ensure exceptional code quality
Build robust, lasting, and scalable products
Iterate quickly without compromising quality
Knowledge, Skills & Abilities:
Strong understanding of machine learning approaches and algorithms
Ability to prioritize tasks and work independently
Excellent verbal and written communication skills, with high attention to detail
Experience collaborating with internal and external stakeholders at all levels of a company
Experience in solving open ambiguous problems from end to end
Possesses a desire to learn and help others
Minimum Qualifications:
BS/BA degree in technical field such as Computer Science, Mathematics, Statistics or equivalent years of experience
1+ years ML industry experience or PhD in related field
Preferred Qualifications:
Experience working with machine learning frameworks such as TensorFlow, Caffe2, PyTorch, Spark ML, scikit-learn, or related frameworks
Experience with mobile apps and/or databases
Experience working with distributed systems
M.S. degree and/or PhD in computer science or related field
Experience working with machine learning, ranking infrastructures, and system designs
Ability to proactively learn new concepts and apply them at work
At Snap, we believe that having a team of diverse backgrounds and voices working together will enable us to create innovative products that improve the way people live and communicate. Snap is proud to be an equal opportunity employer, and committed to providing employment opportunities regardless of race, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, pregnancy, childbirth and breastfeeding, age, sexual orientation, military or veteran status, or any other protected classification, in accordance with applicable federal, state, and local laws. EOE, including disability/vets. If you have a disability or special need that requires accommodation, please don’t be shy and contact us at accommodations-ext@snap.com.",3.9,"Snap
3.9","Mountain View, CA",1001 to 5000 Employees,2011,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
