Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist (Contractor),"$72K-$121K
(Glassdoor Est.)","Marketing

60654

ARYZTA is a global baking company with a Passion for Good Food. We provide our retail and foodservice customers with a portfolio of bakery solutions so they can deliver memorable, delicious food to consumers. With operations in the United States, Canada, South America, Europe, Asia, Australia and New Zealand, ARYZTA has become a global leader in the baked goods industry and one of the largest specialty bakery companies in the world. Our leading bakery brands in North America include La Brea Bakery®, Otis Spunkmeyer®, and Oakrun Farm Bakery®. We have 58 state-of-the-art bakeries and kitchens around the globe, with 20 of those in North America, and are committed to driving innovation, predicting upcoming consumer trends and flavors, and exceeding our customers’ expectations. The Americas team champions the values of Integrity, Ownership, Customer Focus, Creativity and Care to help us deliver on People Safety, Food Safety, Quality and Collaboration.

As a Data Scientist, you will work on the design, development and strategic application of the analytics, machine learning and statistical modeling functions within the marketing team. This position will be responsible for data mining, integration, and preparation for use in advanced analytics to help drive actionable insights for category management, pricing, innovation, portfolio recommendations and other ad hoc needs.

In addition, this position will oversee model integrity and performance while working closely with marketing and sales teams to continuously improve/enhance advanced analytics effectiveness. They will also serve as the business owner for all advanced analytics tools, including their access and application. In this capacity, they will establish structure, methodological approach, and direction on projects, which will bridge the gap between transactional analysis, business research and strategy.

The Data Scientist will report directly to the VP of Marketing and Innovation and work closely with the marketing, Customer and Finance teams.

Key Accountabilities
Work efficiently with client data, retailer data and analytics partners to define, configure, extract, aggregate, package, synthesize, and share data, results, and actionable insight to support business decisions, products and campaigns.
Act as an advertising and retail measurement data subject matter expert
Bring a strong understanding and expert knowledge of the various data sources and methodologies for retail and brand marketing analysis in order to perform analyses and make expert recommendations – retail transaction data, 1st-party CRM data, ad exposure and response data, and 3rd-party data provider attributes (demographics, psychographics, lifestyle segments)
Collaborate with internal and external teams on how to creatively leverage this rich data asset for their respective insight, segmentation, portfolio, measurement, and activation needs
Identify data gaps and advocate for additional data sources to meet unmet marketplace need(s)
Prepare and present compelling analytical presentations and effectively communicate (both in writing and verbally) complex concepts to marketing and business audiences
Provide analytical direction and support for category management customer solutions using store level retailer data to create recommendations on optimal shelf sets including ARYZTA and competitive brands


Skills, Experience & Qualifications
MS or Ph.D. in in Statistics, Mathematics, Data Science, Computer Science or related disciplines preferred
Minimum 5 year’s progressive experience in applied quantitative analysis in CPG, retail, hospitality, supply chain, distribution/transportation or large B2B services or other vertical with a high volume of transactional data highly preferred.
Experience with structured and unstructured data, Nielsen, Techonmic and IRI data is a must.
Experience as a proven leader generating advanced analytics solutions to address business needs with a strong business acumen with proven experience developing analytical models, monitoring them in production, and measuring their business impact.
Experience working with and implementing one or more key technologies / platforms including: Python, R, SQL, SAS, Spark, Hadoop/HDFS, NoSQL databases, Tableau or related technologies, data preparation, model management, machine-generated data visualization platforms, and NLP solutions
Strong written, oral and presentation skills are required.
Demonstrate ability to collaborate and work well cross-functionally.
Desire to work in a fast-paced, entrepreneurial environment
Proficient in MS Office, specifically PowerPoint, Word and Excel


ARYZTA is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status.",2.5,"ARYZTA
2.5","Chicago, IL",10000+ Employees,2008,Company - Public,Food & Beverage Manufacturing,Manufacturing,$2 to $5 billion (USD)
Data Scientist - Statistics,"$79K-$127K
(Glassdoor Est.)","Position Overview:

The Soybean Crop Modeling Team at Climate is seeking a highly motivated researcher with demonstrated experience applying advanced statistics and data science methods to develop predictive agronomic models for soy crop systems.
This position is within the science R&D team that uses process, statistical, and machine-learning models, big data, and cloud computing to develop solutions for farmers via digital agriculture. You will work closely with collaborating teams focused on leveraging genetic, environmental and management data to create integrated models that can help farmers better manage key aspects of soybean crop to improve yield outcome.
The role involves working with diverse data sources, and will require the ability to apply statistical and machine learning models to soy crop data. In addition, a strong understanding and ability to communicate limitations and solutions surrounding data quality and/or quantity, as well as methodologies, to an interdisciplinary team of scientists and engineers is key. You will have the opportunity to work with the richest agricultural datasets available in the world to help farmers meet the challenges of feeding a growing population.
What You Will Do:
Explore, munge, and model large and diverse datasets
Design and prototype models using statistical modeling, process modeling, and other techniques such as machine learning
Implement and test algorithms and techniques relevant to achieving project objectives
Analyze and judge the quality of data and work with the data quality team to resolve issues
Work closely with a team of world-class scientists, engineers and mathematicians to deliver impactful scientific research
Select the most appropriate modeling techniques and data visualization for large datasets
Assist with high-level analysis, design, and code reviews
Basic Qualifications:
PhD in Statistics, Biostatistics, Data Science, Applied Mathematics, or another highly quantitative discipline; or Masters degree plus two years of post-graduate experience.
Demonstrated ability to apply advanced statistical methodology and data science solutions to real-world problems
Strong proficiency in Python
Strong analytical and quantitative problem solving ability, with demonstrated ability to build, test, and iterate on a variety of model forms
Demonstrated ability to work in cross-functional environment
Preferred Qualifications:
Applied experience with agricultural science and/or agricultural datasets
At least 1 year of work experience applying statistics and data science to real-world problems
Machine learning experience
Experience in SQL, PySpark, or SparklyR/Spark
Ability to translate complex technical concepts to collaborations, decision makers, and non-technical audiences
Strong drive to learn new topics and skills and to develop innovative products for our customers
Excellent interpersonal and communication skills

What We Offer:
Our teams are composed of industry experts, top scientists, and talented engineers. The environment is extremely engaging and fast-paced, with dozens of specialties coming together to provide the best possible products and experiences for our customers.
We provide competitive salaries and some of the best perks in the industry, including:
Superb medical, dental, vision, life, disability benefits, and a 401k matching program
A stocked kitchen with a large assortment of snacks & drinks to get you through the day
Encouragement to get out of the office and into the field with agents and farmers to see first-hand how our products are being used
We take part and offer various workshops, conferences, meet-up groups, tech-talks, and hackathons to encourage participation and growth in both community involvement and career development
We also hinge our cultural DNA on these five values:
Inspire one another
Innovate in all we do
Leave a mark on the world
Find the possible in the impossible
Be direct and transparent

Learn more about our team and our mission:
The Climate Corporation - The Technology Behind Making A Difference
https://youtu.be/c5TgbpE9UBI or visit https://climate.com/careers

Climate aims to create a welcoming and collaborative environment for our employees in which a diverse set of perspectives and voices are represented and celebrated.
As part of our dedication to the diversity of our workforce, The Climate Corporation is committed to Equal Employment Opportunity and does not discriminate based on race, religion, color, national origin, ethnicity, gender, sex (including pregnancy), protected veteran status, age, disability, sexual orientation, gender identity, gender expression, or any unlawful criterion existing under applicable federal, state, or local laws. If you need assistance or an accommodation due to a disability, you may contact us at accommodations@climate.com.",3.3,"The Climate Corporation
3.3","Chicago, IL",501 to 1000 Employees,2006,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Engineer,"$85K-$158K
(Glassdoor Est.)","The Job Details are as follows:

OVERVIEW

We are looking for creative and enthusiastic Data Engineers to join our team in building the best Data Platform on the street. We’re responsible for managing the flow of data into the firm, maintaining the data lake, creating analytics-ready datasets, and building the APIs that make everything accessible to our clients. Our singular goal is to help our investment teams use data to make better investment decisions.

Our analysts and systematic trading teams rely on us to provide analytics-ready datasets. For each dataset we must consider the implications of point in time storage, optimize for our users’ access patterns, and create useful aggregations/slices. Our ideal candidate will have experience with storing, transforming, and modeling big data. In this role, you will:
Develop cloud-first data ingestion processes using Python, SQL, and Spark
Engineer data models and infrastructure for a wide variety of market and alternative datasets
Design and build services and plugins to enhance our Data Acquisition Platform
Maintain alerting systems to ensure smooth day-to-day operations for hundreds of datasets
Author tests to validate data quality and the stability of the platform
Investigate and defuse time-sensitive data incidents
Communicate with data providers to onboard new datasets and troubleshoot technical issues
Evangelize best practices to our partners throughout the firm
Work directly with Analysts, Quants, and Portfolio Managers to understand requirements and provide end-to-end data solutions
WHAT YOU’LL BRING
Bachelors/Masters degree in Computer Science or a related field
Strong analytical, data, and programming skills (Python/SQL/NoSQL)
3+ years of experience with at least one of Spark/Hive/Hadoop
2+ years of experience orchestrating pipelines with a technology like Airflow/Luigi/Oozie/Nifi
Solid understanding of time series data and temporal queries
Ability to understand and contribute to our existing data system software
Aptitude for designing infrastructure, data products, and tools for Data Scientists a plus
Strong oral and written communication skills, most importantly, must be a team player",3.9,"Balyasny Asset Management
3.9","Chicago, IL",501 to 1000 Employees,2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
Enterprise Data Engineer,"$82K-$103K
(Glassdoor Est.)","Our client is searching for an experienced Enterprise Data Engineer to join their team in Chicago. Enterprise Data Engineers build pipelines that support datasets used by all investment teams and strategies across the firm. They manage the firm’s most critical data sets and focus on applying software development best practices to solve complex data challenges. The expectation is that the data engineer has sound programming skills, strong business acumen, and a strong interest in finance.
Responsibilities:
Develop solutions that enable internal analysts to efficiently extract insights from data. This includes owning the ingestion (web scrapes, S3/FTP sync, bespoke processes), transformations (Python, Perl) and interface (API, schema design, events, etc.)
Build tooling and automation around data pipelines that improve the efficiency, quality and resiliency of the data platform
Partner with internal analysts, quants and data scientists to design, develop, test and deploy solutions that answer fundamental questions about financial markets.
Take on an entrepreneurial mentality by building and selling your own ideas. The company works in an evolving space and they expect you to help design their evolution by challenging the status quo and independently identifying opportunities to improve the entire data organization.

Requirements:
A passion for working with data and developing software to address data processing challenges
Proficiency with Python, C++, Java or equivalent
Proficiency with RDBMS, NoSQL, distributed compute platforms such as Spark, Dask or Hadoop
Prior experience building data pipelines from structured or unstructured data preferably including web crawlers
Prior work developing BI tooling and/or application development for data analytics
Advanced technical communication skills
Working knowledge of statistics, predictive analytics or machine learning techniques
Strong business acumen with prior experience in investment research or direct exposure to product or data science teams AND passionate about using data for investment decisions

If you would like to be considered for the position of Enterprise Data Engineer or wish to discuss the role further then please leave your details below. Your resume will be held in confidence until you connect with a member of our team
Email: info@njf.com or call London (0207 604 4444,) New York (212 400 4845) or Chicago (312 204 72176) to speak to a member of our team. Thank you",4.2,"NJF Global Holdings
4.2","Chicago, IL",51 to 200 Employees,2003,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
Data Scientist (Personal Valuation Team),"$87K-$144K
(Glassdoor Est.)","Company Description

Positioned at Publicis Groupe's core, Conversant is a marketing tech platform that helps brands transform ordinary customer experiences into meaningful, human experiences. The Conversant platform powers a connected suite of products and services called Epsilon PeopleCloud, combining leading-edge identity management, industrial-strength data and technology expertise with big brand acumen gained over five decades of working with the industrys top brands. Our human-powered, data-led marketing delivers unmatched depth, breadth and scale to help brands create exceptional business outcomes. For more information, visit www.epsilon.com. Follow us on Twitter at @EpsilonMktg.

Job Description

External Title: Data Scientist
Internal Title: Decision Science, Scientist

As a Data Scientist in our Decision Sciences R&D organization, yyou will be responsible for researching and building machine learning, natural language processing, and recommender system applications to extend Epsilon CORE Personalization Platform. Epsilon CORE Personalization Platform analyzes anonymized data at Internet scale and evaluates more than one trillion advertising opportunities per month in real-time. You will work on real-world problems as part of our highly collaborative R&D team, and your solutions will directly and rapidly impact our business. This includes analyzing raw source data and derived data, researching and developing models, algorithms, and applications, building tools and analyses for new and existing products and presenting findings.

RESPONSIBILITIES
Develop an understanding of Epsilon CORE Personalization Platform and proprietary datasets
Use your machine learning expertise to research and recommend the best approaches to solving our technology and business problems
Design, implement, and validate your solutions in Apache Spark and Apache Hive using Scala or Python on large state-of-the-art computing clusters.
Work with our Engineering teams to integrate your solutions into Epsilons CORE Personalization Platform
Participate fully in our collaborative approach to research and applications projects
Qualifications
A Ph.D. in Computer Science, Operations Research, Electrical Engineering, Statistics, Mathematics, Physics, Economics, or related scientific discipline
Research experience and coursework in Optimization, Control Theory, Machine Learning, or Simulation
Experience with distributed computing, such as Hadoop, Spark, or related technologies
Familiarity with Scala, Python, SQL, or Java
Strong understanding of modeling and statistical techniques
Desire to work in a highly collaborative environment
ADDITIONAL USEFUL BUT NOT REQUIRED SKILLS
Experience with Recommender Systems, Natural Language Processing, Information Retrieval, Mathematical Optimization, Control Theory, Time-Series Analysis
Additional Information

Great People, Deserve Great Benefits
We know that we have some of the brightest and most talented associates in the world, and we believe in rewarding them accordingly. If you work here, expect competitive pay, comprehensive health coverage, and endless opportunities to advance your career.

Epsilon is an Equal Opportunity Employer. Epsilons policy is not to discriminate against any applicant or employee based on actual or perceived race, age, sex or gender (including pregnancy), marital status, national origin, ancestry, citizenship status, mental or physical disability, religion, creed, color, sexual orientation, gender identity or expression (including transgender status), veteran status, genetic information, or any other characteristic protected by applicable federal, state or local law. Epsilon also prohibits harassment of applicants and employees based on any of these protected categories.

Epsilon will provide accommodations to applicants needing accommodations to complete the application process.

#LI-AL1

REF17386U",3.4,"Epsilon
3.4","Chicago, IL",5001 to 10000 Employees,1969,Subsidiary or Business Segment,Advertising & Marketing,Business Services,$2 to $5 billion (USD)
Principal Geospatial Data Pipelines Architect,"$138K-$219K
(Glassdoor Est.)","Position Overview:


As a senior technical leader in the Data Pipelines engineering organization, you will technically guide a team chartered with ingesting and transforming agronomic data into canonical and post-canonical datasets. You will be accountable for the design and technical stewardship of existing and next-generation large scale data pipelines processing geospatial data acquired from a global farming user base. You will drive pipeline and capability architectures that facilitate the rapid integration of data science based agronomic, data quality, and imagery processing models directly into our data pipelines.

What You Will Do:
Lead technical direction and architectural evolution of our data pipelines and related digital farming platform capabilities.
Partner with other architects and technical leads to collaborate, design and validate appropriate solutions and institute appropriate data governance mechanisms.
Partner with Digital Farming Platform leads to establish and steward a multi-year Data Pipelines technical capabilities roadmap.
Develop cloud-based pipeline architectures that enable massively scalable data processing, while maintaining less than linear operating cost profiles.
Continuously assess next-generation geospatial data and imagery processing techniques to support use cases unique to the agriculture industry.
Work with key leaders and subject matter experts in our Data Science and Product organizations to integrate and enable the latest agronomic data innovations and data quality algorithms.
Evangelize and mentor others on topics such as data governance, data quality, and data management best practices and techniques.
Basic Qualifications:
BS, MS or equivalent in Computer Science or related technical field
10+ years of experience in software or data engineering.
4+ years serving as a lead data or pipeline architect in a large-scale, cloud-based, high-volume data processing organization or business division.
Demonstrated experience writing architectural requirements and systems design documents.
Experience designing and governing scalable cloud-native backend compute capabilities (REST APIs, microservices, distributed computing frameworks, geospatial processing and indexing, messaging frameworks and paradigms, data quality management).
Expertise designing and deploying solutions on at least one cloud-based provider such as AWS, GCP or Azure
Preferred Qualifications:
Excellent written and verbal communication including the presentation of complex engineering designs, concepts, and solutions in a clear and concise manner to technical and non-technical audiences alike
Expertise in processing and aggregating high-volume, geospatially-oriented IoT data
Expertise in imagery processing and feature extraction from satellite and aerial sources
Depth of knowledge in the Data Operations and Data Quality management space
Experience with layered geospatial data structures and data representations
Expertise designing and implementing highly scalable data-intensive distributed computing solutions using modern cloud-native processing frameworks
Experience with Amazon Web Services (EC2, S3, RDS, SQS, etc.) is strongly preferred
Experience with a compiled JVM language, including Scala, is a plus
Working knowledge of open-source and commercial data pipeline tooling (Apache NiFi, Cloudera, etc) strongly preferred
What We Offer:

Our teams are composed of industry experts, top scientists, and talented engineers. The environment is extremely engaging and fast-paced, with dozens of specialties coming together to provide the best possible products and experiences for our customers.

We provide competitive salaries and some of the best perks in the industry, including:
Superb medical, dental, vision, life, disability benefits, and a 401k matching program
A stocked kitchen with a large assortment of snacks & drinks to get you through the day
Encouragement to get out of the office and into the field with agents and farmers to see first-hand how our products are being used
We take part and offer various workshops, conferences, meet-up groups, tech-talks, and hackathons to encourage participation and growth in both community involvement and career development
We also hinge our cultural DNA on these five values:
Inspire one another
Innovate in all we do
Leave a mark on the world
Find the possible in the impossible
Be direct and transparent
Learn more about our team and our mission:

The Climate Corporation - The Technology Behind Making A Difference
https://youtu.be/c5TgbpE9UBI or visit https://climate.com/careers

Climate aims to create a welcoming and collaborative environment for our employees in which a diverse set of perspectives and voices are represented and celebrated.

As part of our dedication to the diversity of our workforce, The Climate Corporation is committed to Equal Employment Opportunity and does not discriminate based on race, religion, color, national origin, ethnicity, gender, sex (including pregnancy), protected veteran status, age, disability, sexual orientation, gender identity, gender expression, or any unlawful criterion existing under applicable federal, state, or local laws. If you need assistance or an accommodation due to a disability, you may contact us at accommodations@climate.com

#LI-BW1",3.3,"The Climate Corporation
3.3","Chicago, IL",501 to 1000 Employees,2006,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,"$79K-$138K
(Glassdoor Est.)","Job Summary
Applies advanced data analysis tools and techniques to provide insights and actionable recommendations for the business. Utilizes complex statistical modeling to make predictions about future outcomes and in multiple scenarios. May explain findings to business audience.

Job Responsibilities
Responsible for applying advanced data analysis tools and techniques to provide insights and actionable recommendations for the business. Utilizes complex statistical modeling to make predictions about future outcomes and in multiple scenarios.
Interprets and applies data in complex analyses, and explains findings to business audiences to improve products and processes.
May support or lead the development of data-related commercial offerings and/or other intellectual property (IP)
Executes statistical and mathematical analyses to support business decision making.
Develops and/or uses algorithms and statistical predictive models and determines analytical approaches and modeling techniques to evaluate scenarios and potential future outcomes.
Applies analytical rigor and statistical methods to analyze large amounts of data, using advanced statistical techniques such as predictive statistical models, customer profiling, segmentation analysis, survey design and analysis, and data mining.
Documents projects including business objectives, data gathering and processing, leading approaches, final algorithm, detailed set of results and analytical metrics.
Develops materials to explain project findings.
Effectively resolves problems and roadblocks as they occur.
Interacts with internal and external peers and/or managers to exchange semi-complex information related to assigned activities.
Prepares and presents interpretation of findings to internal clients.
Walgreens (walgreens.com), one of the nation's largest drugstore chains, is included in the Retail Pharmacy USA Division of Walgreens Boots Alliance, Inc. (Nasdaq: WBA), a global leader in retail and wholesale pharmacy. Walgreens is proud to be a neighborhood health, beauty and retail destination supporting communities across the country, and was named to FORTUNE* magazines 2019 Companies that Change the World list. Approximately 8 million customers interact with Walgreens in stores and online each day. As of August 31, 2019, Walgreens operates 9,277 drugstores with a presence in all 50 states, the District of Columbia, Puerto Rico and the U.S. Virgin Islands, along with its omnichannel business, Walgreens.com. Walgreens also provides specialty pharmacy and mail services and offers in-store clinics and other health care services throughout the United States, most of which are operated by our health care strategic partners.

Basic Qualifications
Bachelor's degree and at least 2 years of experience in quantitative or computational functions; or graduate degree in a quantitative, computational or technical discipline
Knowledge of SQL
Experience in data science, advanced analytics, or statistics. Ability to interrogate data, perform analyses, interpret data, and present to business audiences.
Knowledge of open source data science and statistics packages such as Python, R, Spark, etc.
Experience establishing and maintaining key relationships with internal (peers, business partners and leadership) and external (business community, clients and vendors) within a matrix organization to ensure quality standards for service.
Experience analyzing and reporting data in order to identify issues, trends, or exceptions to drive improvement of results and find solutions.
Willing to travel up to 10% of the time for business purposes (within state and out of state).
Preferred Qualifications
Graduate degree in a quantitative, computational or technical discipline",3.0,"Walgreens
3.0","Chicago, IL",10000+ Employees,1901,Company - Public,Drug & Health Stores,Retail,$10+ billion (USD)
Data Science Intern,-1,"Data Science Intern (Summer 2021)
Location


Chicago

Job Department


Trading

Apply Now

Title: Data Science Intern (Summer 2021)
Location: Chicago
Department: Trading

Data Science Intern (Summer 2021) at Wolverine Trading

If you want to understand the data of modern markets at the deepest level and dive into quantitative trading, the data science research internship is right for you. Wolverine is offering the opportunity to work in a highly collaborative and dynamic environment where you’ll get exposure to our algorithmic trading and execution systems. Data Scientists work with traders and engineers to develop, test, and implement statistical models and algorithmic trading systems that drive every aspect of Wolverine’s business. Wolverine seeks intelligent and creative individuals who will apply their mathematical and programming skills to complex big data and time series problems.

What You’ll Do

As a summer intern, you will work on multiple ML, statistics, and data engineering projects using our cutting-edge cluster computing technology and A/B testing environments. You will perform huge data analysis on our algorithms, and have the opportunity to propose actionable changes to fully automated trading systems. You will gain experience with options pricing and equities trading strategies while learning how we approach significance testing, parameter tuning, outlier analysis, and algorithmic optimizations. Our team oversees thousands of data sources and the algorithms that convert these data into actionable insights for our trading strategies. Wolverine provides classroom education, hands-on training, and mock trading. Wolverine also provides fully furnished apartments that are located close to the office, making your morning commute quick and easy. Additionally, Wolverine will host several social activities throughout the summer to ensure an optimal work-life balance.

What We Look For
Working toward a degree in statistics, computer science, mathematics, or another highly quantitative field and have an expected graduation date between December 2021 and June 2022.
History of academic excellence.
Demonstrated interest in trading, financial markets, and technology, but experience or knowledge of finance not required.
Excellent quantitative and problem-solving skills.
Entrepreneurial and self-motivated.
Strong communication skills.
Desire to work in a team environment.
3-month commitment.
Experience in Python.
Strong background in classical statistics and machine learning preferred.
About Wolverine

Founded in 1994, the Wolverine companies comprise a number of diversified financial institutions specializing in proprietary trading, asset management, order execution services, and technology solutions. We are recognized as a market leader in derivatives valuation, trading, and value-added order execution across global equity, options, and futures markets. With a focus on innovation, achievement, and integrity, we take pride in serving the interests of both our clients and colleagues. The Wolverine companies are headquartered in Chicago with offices in New York and San Francisco and a proprietary trading affiliate office located in London.

Sponsorship is not available for this position.",4.2,"Wolverine Trading
4.2","Chicago, IL",201 to 500 Employees,1994,Company - Private,Investment Banking & Asset Management,Finance,$10 to $25 million (USD)
Data Scientist,"$60K-$102K
(Glassdoor Est.)","Who We Are!

At Maven Wave, an Atos Company, we are relentless in hiring the industrys top talent. Each employee is hand-picked not only for their skills, but for their personality and broad expertise. We are looking for this rare combination of talent that sets us apart in the industry.

Maven Wave helps leading companies make the shift to digital and shorten the fuse to innovation. We combine the expertise of top-tier consulting with the agility of a cutting-edge technology firm. This multidisciplinary blend of skills allows us to create unique digital advantages for our clients. Maven Waves digital solutions are agile, mobile, rooted in analytics, and built in the cloud.


Maven Wave, Google, and YOU: Drive and deliver business results with data-based insights.

We are looking for a Data Scientist who will utilize their analytical, statistical, and programming skills to develop data-driven solutions to complex business challenges.


Your Life As a Maven:
Leverage company data to drive business solutions for enterprise clients using R and Python.
Perform data collection for Data Science operations including Machine Learning.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting, and other business outcomes.
Assess Model accuracy using common metrics (AUC, F1, etc.) and explain the results to client stakeholders.

Your Expertise:
3-5 years of experience manipulating data sets and building statistical models.
Cloud experience in a major platform, such as AWS, GCP, or Azure.
Experience using Data Science languages (R, Python) to manipulate data and draw insights.
Knowledge of a variety of Machine Learning and advanced analytical techniques and their real world advantages/drawbacks.
Familiarity with the following software/tools: Python, C, Java, Jupyter Notebooks, SQL, ML platforms (H2O, DataRobot), distributed data (Map/Reduce, Hadoop), and visualization (Tableau, qlikview)
Must have a Bachelors degree in Computer Science, Technology, Computer Information Systems, Computer Applications, Engineering, or a related field.
Your X-Factor:
Aptitude - You have an innate capacity to transition from project to project without skipping a beat.
Communication - You have excellent written and verbal communication skills for coordination across projects and teams.
Impact - You are a critical thinker with an emphasis on creativity and innovation.
Passion - You have the drive to succeed paired with a continuous hunger to learn.
Leadership - You are trusted, empathetic, accountable, and empower others around you.
Why Were Proud To Be Mavens!
Google Cloud North America Services Partner of the Year 2019, 2018, 2017
#21 Best Workplaces in Chicago, FORTUNE
Great Place To Work Certification, Great Place to Work
Fast Fifty, Crain's Chicago Business
101 Best and Brightest Companies to Work For, National Association for Business Resources (NABR)
Top Google Cloud Partner, Clutch
Fastest Growing Consulting Firms in North America (#11, #37), Consulting Magazine
Top IT Services Companies, Clutch
Google Global Rising Star Partner of the Year
Ready to Learn More?
Digital Transformation at Maven Wave
Check out the Data Team
See what Glassdoor has to say
Real Customer Stories",4.4,"Maven Wave Partners
4.4","Chicago, IL",201 to 500 Employees,2008,Company - Private,Consulting,Business Services,$50 to $100 million (USD)
Data Scientist/Machine Learning Specialist,"$80K-$129K
(Glassdoor Est.)","Driving Infinite Possibilities Within A Diversified, Global Organization


The future is what you make it.

When you join Honeywell, you become a member of our global team of thinkers, innovators, dreamers, and doers who make the things that make the future.

That means changing the way we fly, fueling jets in an eco-friendly way, keeping buildings smart and safe and even making it possible to breathe on Mars. Working at Honeywell isnt just about developing cool things. Thats why all of our employees enjoy access to dynamic career opportunities across different fields and industries.

Are you ready to help us shape the future? Become a #futureshaper!

An excellent career opportunity is currently available for an Advanced R&D Engineer/Scientist specialized in Data Science/Machine Learning/AI in the Optimization Development group within UOP's Research and Development organization located in Des Plaines, IL. This position affords a unique and visible opportunity to support outcome based digital service models and performance monitoring and optimization solutions for Honeywell UOP customers.

Key Responsibilities:
Develop analytics capabilities to enable upsell opportunities and outcome based business models for Honeywell UOP
Develop analytics tools to identify leading indicators and customer pain points using commercial data and internal domain knowledge
Support infrastructure development to enable next generation digital performance and outcome based service offerings
Collaboration with software development teams to test/implement new software platforms and data analytics tools
Support new tool development to enable productivity improvements for UOPs service organization and transform service into a recurring revenue growth engine
Develop capabilities to enhance first principles models through the use of data science/machine learning algorithms
Author invention disclosures to contribute to the innovation effort at Honeywell UOP
Travel both domestic and internationally approximately 10% annually
YOU MUST HAVE
Bachelor's Degree in Chemical Engineering and 7 years of experience in process systems engineering and machine learning/data science
WE VALUE
PhD in Chemical Engineering highly preferred
Experience with applying machine learning, data science tools and algorithms
Knowledge of optimization theory and experience working with process systems engineering tools and software
Experience with developing and applying reduced order/surrogate models
Knowledge of statistics, parameter estimation, model discrimination and experimental design
Knowledge of chemical engineering fundamentals including fluid flow, heat transfer, mass transfer and reaction engineering
Knowledge of UOP technologies: Refining/Petrochemicals/Gas Processing applications.
Excellent computer programming skills
Strong interpersonal skills and the capability to work effectively across multiple functional departments
Demonstrated ability to work independently with a strong focus on delivering results and identifying alternative solutions when challenges arise
Excellent written and verbal communication skills to ensure all aspects of projects are clearly understood and well documented
Knowledge of Six-Sigma principles and their use in managing risk and uncertainty
Additional Information
JOB ID: req238815
Category: Engineering
Location: 50 E Algonquin Rd,Des Plaines,Illinois,60017-5016,United States
Exempt
Engineering (GLOBAL)

Honeywell is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, or veteran status.",3.7,"Honeywell
3.7","Des Plaines, IL",10000+ Employees,1885,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Associate Analytical Scientist,-1,"This position is responsible for supporting the development of analytical tests and characterization methods for pharmaceutical formulation, process, and specification development. The Associate Scientist will work with product development team members in support of method development, method transfer, method validation, stability data generation and data summary. This role will also be responsible for drafting test methods, product development SOP’s, and general laboratory maintenance and operation.

Assist in the development of specific and selective chromatographic methods (HPLC, UPLC and other methods for biologics) for use in characterizing prototype pharmaceutical formulations.
Collaborate with Pharmaceutical Development Scientists to design adequate stability/ characterization protocols for new products for toxicology, bioavailability, and early stage clinical support.
Support and oversee Research Associate(s) in the implementation of compendial monographs and procedures (USP, EP, etc.).
Perform duties, as required, for Reference Standard programs, instrument maintenance/ calibration and Stability Programs (internal and external).
Configure and operate laboratory instruments, including HPLC, Karl Fischer Titrator, etc.
Read and record instrument data, tabulate data, and keep detailed laboratory records.
Draft Standard Operating Procedures (SOP’s) for laboratory equipment operation and maintenance.

Bachelor’s degree in a Scientific field with 6-8 years, MS degree with 2-4 years or PhD degree with 0-2 years of industry experiences.
Demonstrated understanding of modern chromatographic methods and theory, especially the chromatographic methods and theory for proteins and Biologics.
Hands on experience and expertise with Mass Spectroscopic instrumentation preferred
Ability to work independently as well as part in a team
Ability to draft routine reports and maintain accurate and detailed records of work performed
Working knowledge of Microsoft Productivity software (Excel, Word, etc.), Agilent ChemStation and common statistical software
Technical/regulatory writing experience preferred
Excellent written and verbal communication skills
Working Conditions
Must be able to stand for extended periods of time.
Must be able to lift 25 lbs. or more.
Adequate vision (corrected or uncorrected) to read fine instruments such as calipers, instrument displays, etc. and perform visual inspection for defects.
Position works with potentially hazardous chemicals and active pharmaceutical ingredients. May require periodic evening and weekend work, as necessary, to meet company deadlines.
Position may include periodic travel (domestic and international).",4.5,"Xeris Pharmaceuticals, Inc.
4.5","Chicago, IL",51 to 200 Employees,-1,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
